"Cancer_type","group","c_index"
"ACC","snp",0.996458087367178
"ACC","snp",0.944162436548223
"ACC","snp",0.984886649874055
"ACC","snp",0.987080103359173
"ACC","snp",0.99496855345912
"ACC","snp",0.959339263024142
"ACC","snp",0.989547038327526
"ACC","snp",0.990950226244344
"ACC","snp",0.98932384341637
"ACC","snp",0.996192893401015
"ACC","snp",0.996332518337408
"ACC","snp",0.979166666666667
"ACC","snp",0.995918367346939
"ACC","snp",0.96125
"ACC","snp",0.984009840098401
"ACC","snp",0.984924623115578
"ACC","snp",0.986163522012579
"ACC","snp",0.967153284671533
"ACC","snp",0.983990147783251
"ACC","snp",0.979190751445087
"ACC","snp",0.996466431095406
"ACC","snp",0.986075949367089
"ACC","snp",0.997729852440409
"ACC","snp",0.987925356750823
"ACC","snp",0.98220640569395
"ACC","snp",0.983247422680412
"ACC","snp",0.949677419354839
"ACC","snp",0.986093552465234
"ACC","snp",0.959370904325033
"ACC","snp",0.986093552465234
"ACC","snp",0.990243902439024
"ACC","snp",0.987819732034105
"ACC","snp",0.997524752475248
"ACC","snp",0.959370904325033
"ACC","snp",0.996088657105606
"ACC","snp",0.989510489510489
"ACC","snp",0.981333333333333
"ACC","snp",0.942782834850455
"ACC","snp",0.985411140583554
"ACC","snp",0.984318455971049
"ACC","snp",0.996192893401015
"ACC","snp",0.978181818181818
"ACC","snp",0.990267639902676
"ACC","snp",0.984741784037559
"ACC","snp",0.985645933014354
"ACC","snp",0.982311320754717
"ACC","snp",0.997465145754119
"ACC","snp",0.914402173913043
"ACC","snp",0.982256020278834
"ACC","snp",0.986746987951807
"ACC","drug",0.98812351543943
"ACC","drug",0.984905660377358
"ACC","drug",0.993071593533487
"ACC","drug",0.991812865497076
"ACC","drug",0.990453460620525
"ACC","drug",0.989037758830694
"ACC","drug",0.990343347639485
"ACC","drug",0.990708478513357
"ACC","drug",0.996449704142012
"ACC","drug",0.965635738831615
"ACC","drug",0.996359223300971
"ACC","drug",0.997765363128492
"ACC","drug",0.991094147582697
"ACC","drug",0.992974238875878
"ACC","drug",0.954761904761905
"ACC","drug",0.990888382687927
"ACC","drug",0.9880810488677
"ACC","drug",0.98536036036036
"ACC","drug",0.989795918367347
"ACC","drug",0.946650124069479
"ACC","drug",0.986225895316804
"ACC","drug",0.983606557377049
"ACC","drug",0.991812865497076
"ACC","drug",0.988679245283019
"ACC","drug",0.989461358313817
"ACC","drug",0.940934065934066
"ACC","drug",0.986789960369881
"ACC","drug",0.853836784409257
"ACC","drug",0.964037122969838
"ACC","drug",0.986984815618221
"ACC","drug",0.991812865497076
"ACC","drug",0.987709497206704
"ACC","drug",0.972388955582233
"ACC","drug",0.996341463414634
"ACC","drug",0.970720720720721
"ACC","drug",0.968047337278107
"ACC","drug",0.988066825775656
"ACC","drug",0.965144230769231
"ACC","drug",0.985449735449735
"ACC","drug",0.990888382687927
"ACC","drug",0.994891443167305
"ACC","drug",0.991452991452992
"ACC","drug",0.997619047619048
"ACC","drug",0.975826972010178
"ACC","drug",0.98586118251928
"ACC","drug",0.990554899645809
"ACC","drug",0.965352449223417
"ACC","drug",0.969798657718121
"ACC","drug",0.95609756097561
"ACC","drug",0.953063885267275
"ACC","cnv",0.985769728331177
"ACC","cnv",0.985769728331177
"ACC","cnv",0.983050847457627
"ACC","cnv",0.960732984293194
"ACC","cnv",0.974293059125964
"ACC","cnv",0.980309423347398
"ACC","cnv",0.987012987012987
"ACC","cnv",0.981741573033708
"ACC","cnv",0.988387096774194
"ACC","cnv",0.902187902187902
"ACC","cnv",0.995804195804196
"ACC","cnv",0.988957055214724
"ACC","cnv",0.993817619783617
"ACC","cnv",0.991014120667522
"ACC","cnv",0.986128625472888
"ACC","cnv",0.99581589958159
"ACC","cnv",0.966352624495289
"ACC","cnv",0.935099337748344
"ACC","cnv",0.960969044414536
"ACC","cnv",0.982643524699599
"ACC","cnv",0.868501529051988
"ACC","cnv",0.980867346938776
"ACC","cnv",0.960732984293194
"ACC","cnv",0.936657681940701
"ACC","cnv",0.976982097186701
"ACC","cnv",0.952380952380952
"ACC","cnv",0.985352862849534
"ACC","cnv",0.985313751668892
"ACC","cnv",0.988063660477454
"ACC","cnv",0.984084880636605
"ACC","cnv",0.960732984293194
"ACC","cnv",0.973125884016973
"ACC","cnv",0.97008547008547
"ACC","cnv",0.995804195804196
"ACC","cnv",0.983651226158038
"ACC","cnv",0.98443579766537
"ACC","cnv",0.941011235955056
"ACC","cnv",0.945260347129506
"ACC","cnv",0.979669631512071
"ACC","cnv",0.950928381962865
"ACC","cnv",0.994832041343669
"ACC","cnv",0.981741573033708
"ACC","cnv",0.945355191256831
"ACC","cnv",0.927109974424552
"ACC","cnv",0.975708502024291
"ACC","cnv",0.983695652173913
"ACC","cnv",0.995708154506438
"ACC","cnv",0.97165991902834
"ACC","cnv",0.985294117647059
"ACC","cnv",0.99622641509434
"ACC","baseline",0.953367875647668
"ACC","baseline",0.953367875647668
"ACC","baseline",0.976309226932668
"ACC","baseline",0.931847968545216
"ACC","baseline",0.94987146529563
"ACC","baseline",0.981358189081225
"ACC","baseline",0.9875
"ACC","baseline",0.982165605095541
"ACC","baseline",0.995433789954338
"ACC","baseline",0.994068801897984
"ACC","baseline",0.981505944517833
"ACC","baseline",0.988721804511278
"ACC","baseline",0.990877993158495
"ACC","baseline",0.977602108036891
"ACC","baseline",0.948130277442702
"ACC","baseline",0.982278481012658
"ACC","baseline",0.99468085106383
"ACC","baseline",0.991626794258373
"ACC","baseline",0.981841763942931
"ACC","baseline",0.992376111817027
"ACC","baseline",0.97724039829303
"ACC","baseline",0.979874213836478
"ACC","baseline",0.931847968545216
"ACC","baseline",0.976439790575916
"ACC","baseline",0.98870765370138
"ACC","baseline",0.990532544378698
"ACC","baseline",0.989473684210526
"ACC","baseline",0.997533908754624
"ACC","baseline",0.964757709251101
"ACC","baseline",0.987849331713244
"ACC","baseline",0.944512946979038
"ACC","baseline",0.994177583697234
"ACC","baseline",0.961006289308176
"ACC","baseline",0.981505944517833
"ACC","baseline",0.989115646258503
"ACC","baseline",0.989911727616646
"ACC","baseline",0.984869325997249
"ACC","baseline",0.927297668038409
"ACC","baseline",0.982608695652174
"ACC","baseline",0.937165775401069
"ACC","baseline",0.979643765903308
"ACC","baseline",0.982165605095541
"ACC","baseline",0.979591836734694
"ACC","baseline",0.98870765370138
"ACC","baseline",0.978448275862069
"ACC","baseline",0.99618320610687
"ACC","baseline",0.989717223650386
"ACC","baseline",0.99125
"ACC","baseline",0.987179487179487
"ACC","baseline",0.992471769134254
"ACC","drug_snp",0.996458087367178
"ACC","drug_snp",0.944162436548223
"ACC","drug_snp",0.984886649874055
"ACC","drug_snp",0.987080103359173
"ACC","drug_snp",0.99496855345912
"ACC","drug_snp",0.959339263024142
"ACC","drug_snp",0.989547038327526
"ACC","drug_snp",0.990950226244344
"ACC","drug_snp",0.98932384341637
"ACC","drug_snp",0.996192893401015
"ACC","drug_snp",0.996332518337408
"ACC","drug_snp",0.979166666666667
"ACC","drug_snp",0.995918367346939
"ACC","drug_snp",0.96125
"ACC","drug_snp",0.984009840098401
"ACC","drug_snp",0.984924623115578
"ACC","drug_snp",0.986163522012579
"ACC","drug_snp",0.967153284671533
"ACC","drug_snp",0.983990147783251
"ACC","drug_snp",0.979190751445087
"ACC","drug_snp",0.996466431095406
"ACC","drug_snp",0.986075949367089
"ACC","drug_snp",0.997729852440409
"ACC","drug_snp",0.987925356750823
"ACC","drug_snp",0.98220640569395
"ACC","drug_snp",0.983247422680412
"ACC","drug_snp",0.949677419354839
"ACC","drug_snp",0.986093552465234
"ACC","drug_snp",0.959370904325033
"ACC","drug_snp",0.986093552465234
"ACC","drug_snp",0.990243902439024
"ACC","drug_snp",0.987819732034105
"ACC","drug_snp",0.997524752475248
"ACC","drug_snp",0.959370904325033
"ACC","drug_snp",0.996088657105606
"ACC","drug_snp",0.989510489510489
"ACC","drug_snp",0.981333333333333
"ACC","drug_snp",0.942782834850455
"ACC","drug_snp",0.985411140583554
"ACC","drug_snp",0.984318455971049
"ACC","drug_snp",0.996192893401015
"ACC","drug_snp",0.978181818181818
"ACC","drug_snp",0.990267639902676
"ACC","drug_snp",0.984741784037559
"ACC","drug_snp",0.985645933014354
"ACC","drug_snp",0.982311320754717
"ACC","drug_snp",0.997465145754119
"ACC","drug_snp",0.914402173913043
"ACC","drug_snp",0.982256020278834
"ACC","drug_snp",0.986746987951807
"ACC","drug_cnv",0.985430463576159
"ACC","drug_cnv",0.985526315789474
"ACC","drug_cnv",0.975
"ACC","drug_cnv",0.961643835616438
"ACC","drug_cnv",0.991239048811014
"ACC","drug_cnv",0.976408912188729
"ACC","drug_cnv",0.996470588235294
"ACC","drug_cnv",0.9925
"ACC","drug_cnv",0.997666277712952
"ACC","drug_cnv",0.987309644670051
"ACC","drug_cnv",0.990147783251232
"ACC","drug_cnv",0.986876640419947
"ACC","drug_cnv",0.979038224414303
"ACC","drug_cnv",0.987755102040816
"ACC","drug_cnv",0.989808917197452
"ACC","drug_cnv",0.985468956406869
"ACC","drug_cnv",0.911538461538462
"ACC","drug_cnv",0.913425345043915
"ACC","drug_cnv",0.991368680641184
"ACC","drug_cnv",0.986650485436893
"ACC","drug_cnv",0.94243641231593
"ACC","drug_cnv",0.979057591623037
"ACC","drug_cnv",0.958666666666667
"ACC","drug_cnv",0.992248062015504
"ACC","drug_cnv",0.977631578947368
"ACC","drug_cnv",0.977483443708609
"ACC","drug_cnv",0.98970398970399
"ACC","drug_cnv",0.985824742268041
"ACC","drug_cnv",0.964889466840052
"ACC","drug_cnv",0.98273572377158
"ACC","drug_cnv",0.964238410596027
"ACC","drug_cnv",0.989664082687339
"ACC","drug_cnv",0.989556135770235
"ACC","drug_cnv",0.989962358845671
"ACC","drug_cnv",0.996207332490518
"ACC","drug_cnv",0.987063389391979
"ACC","drug_cnv",0.929171668667467
"ACC","drug_cnv",0.991025641025641
"ACC","drug_cnv",0.995689655172414
"ACC","drug_cnv",0.987593052109181
"ACC","drug_cnv",0.9925
"ACC","drug_cnv",0.949333333333333
"ACC","drug_cnv",0.989911727616646
"ACC","drug_cnv",0.995139732685298
"ACC","drug_cnv",0.994949494949495
"ACC","drug_cnv",0.994910941475827
"ACC","drug_cnv",0.991666666666667
"ACC","drug_cnv",0.997663551401869
"ACC","drug_cnv",0.995266272189349
"ACC","drug_cnv",0.972463768115942
"ACC","drug_cnv",0.956164383561644
"ACC","drug_cnv",0.966376089663761
"ACC","drug_cnv",0.98906439854192
"ACC","drug_cnv",0.99748427672956
"ACC","drug_cnv",0.994884910485933
"ACC","drug_cnv",0.99404052443385
"ACC","drug_cnv",0.960907944514502
"ACC","drug_cnv",0.90613266583229
"ACC","drug_cnv_snp",0.893316195372751
"ACC","drug_cnv_snp",0.893316195372751
"ACC","drug_cnv_snp",0.984936268829664
"ACC","drug_cnv_snp",0.969036697247706
"ACC","drug_cnv_snp",0.977242302543507
